feature,posterior_mean_beta,posterior_sd_beta,posterior_or,or_ci_low,or_ci_high,posterior_prob_beta_gt_0
Intercept,-1.7806330066194036,0.10288515486983112,0.16853143198439455,0.13775370838802795,0.20618569110825533,2.0829356324172243e-67
C(District_Name)[T.MAMBERAMO HILIR],-0.997877227228756,0.2762899767359017,0.36866119508165945,0.2145085713730916,0.6335927552407649,0.0001520966499374829
C(District_Name)[T.MAMBERAMO HULU],-0.7427590539770386,0.4273145888667667,0.4757993467918719,0.20591421104796892,1.0994142524472694,0.04108761733629845
C(District_Name)[T.MAMBERAMO TENGAH],-0.9690331504392681,0.26971622709923215,0.3794497316124337,0.22364910395914442,0.6437857173219448,0.00016357954674552905
C(District_Name)[T.MAMBERAMO TENGAH TIMUR],-1.1442178714546358,0.6169084871186558,0.31847290715849397,0.09504940155192328,1.0670766037235553,0.03181517379360254
C(District_Name)[T.SAWAI],0.5586581759602525,0.20399269622735686,1.7483249811804944,1.1721415863858395,2.6077397776189875,0.9969151041285115
C(District_Name)[T.WAROPEN ATAS],1.0860582699724013,0.1948409516885263,2.9625733628101436,2.0221675985241694,4.340313303624176,0.9999999875576446
Gender,0.39513896487885614,0.13843391104117475,1.4845904825234932,1.1317991098530813,1.9473499153798064,0.9978437568476216
Exclusive_Milky,1.0109407044207175,0.1432064171565604,2.748185029235514,2.07561215948659,3.638695659203665,0.9999999999991634
Smoke_Habit,0.4913518491877147,0.14717051501559014,1.6345243575096184,1.2249470759498529,2.181049228776317,0.9995790775703781
PureWater_Access,0.1682132554563119,0.14883972552057312,1.1831889052351452,0.883810499360214,1.583977545508848,0.8707963745803816
Healthy_Toilet,0.09812798665800176,0.1825885891661364,1.1031039586632472,0.7712477291771954,1.5777529029702417,0.7045135548577941
Difficult_Acess,1.0753770692522042,0.11674594650720514,2.9310979190868367,2.3316006689567113,3.6847368958422146,1.0
